 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.14869  -0.21950   0.26512  -124.114   -3.2177   **  -0.01088   0.00504   0.01199   155.133  -30.1087   **   -3.2088  -279.2468 
 -89.000  -0.15294  -0.21617   0.26480  -125.279   -3.2279   **   0.00030   0.00412   0.00413    85.875  -39.3756   **   -3.2269  -211.1538 
 -88.000  -0.15703  -0.21305   0.26467  -126.392   -3.2322   **   0.01129   0.00299   0.01168    14.853  -30.3388   **   -3.2238  -141.2451 
 -87.000  -0.16096  -0.21015   0.26471  -127.451   -3.2310   **   0.02209   0.00168   0.02215     4.346  -24.7787   **   -3.2007  -131.7964 
 -86.000  -0.16474  -0.20744   0.26490  -128.455   -3.2247   **   0.03269   0.00017   0.03269     0.299  -21.3990   **   -3.1591  -128.7541 
 -85.000  -0.16836  -0.20494   0.26523  -129.404   -3.2139   **   0.04308  -0.00153   0.04311    -2.032  -18.9955   **   -3.1006  -127.3719 
 -84.000  -0.17183  -0.20264   0.26569  -130.296   -3.1988   **   0.05326  -0.00342   0.05337    -3.671  -17.1403   **   -3.0270  -126.6258 
 -83.000  -0.17515  -0.20055   0.26627  -131.133   -3.1800   **   0.06323  -0.00549   0.06346    -4.966  -15.6359   **   -2.9401  -126.1672 
 -82.000  -0.17832  -0.19865   0.26695  -131.914   -3.1579   **   0.07297  -0.00776   0.07338    -6.068  -14.3753   **   -2.8416  -125.8458 
 -81.000  -0.18135  -0.19695   0.26772  -132.639   -3.1327   **   0.08248  -0.01020   0.08310    -7.053  -13.2938   **   -2.7332  -125.5861 
 -80.000  -0.18422  -0.19544   0.26858  -133.308   -3.1050   **   0.09175  -0.01283   0.09265    -7.962  -12.3499   **   -2.6167  -125.3461 
 -79.000  -0.18696  -0.19412   0.26951  -133.923   -3.0749   **   0.10079  -0.01564   0.10200    -8.822  -11.5147   **   -2.4935  -125.1010 
 -78.000  -0.18954  -0.19300   0.27051  -134.483   -3.0427   **   0.10958  -0.01863   0.11115    -9.647  -10.7679   **   -2.3651  -124.8351 
 -77.000  -0.19199  -0.19207   0.27157  -134.989   -3.0088   **   0.11812  -0.02179   0.12012   -10.451  -10.0943   **   -2.2328  -124.5382 
 -76.000  -0.19430  -0.19132   0.27268  -135.442   -2.9733   **   0.12641  -0.02512   0.12888   -11.239   -9.4824   **   -2.0976  -124.2034 
 -75.000  -0.19646  -0.19076   0.27384  -135.843   -2.9365   **   0.13444  -0.02862   0.13745   -12.017   -8.9232   **   -1.9606  -123.8261 
 -74.000  -0.19849  -0.19039   0.27504  -136.193   -2.8985   **   0.14221  -0.03228   0.14583   -12.790   -8.4095   **   -1.8226  -123.4029 
 -73.000  -0.20037  -0.19020   0.27627  -136.492   -2.8596   **   0.14971  -0.03611   0.15400   -13.560   -7.9357   **   -1.6845  -122.9316 
 -72.000  -0.20212  -0.19020   0.27754  -136.740   -2.8198   **   0.15694  -0.04009   0.16198   -14.330   -7.4970   **   -1.5468  -122.4106 
 -71.000  -0.20373  -0.19038   0.27884  -136.940   -2.7793   **   0.16390  -0.04423   0.16976   -15.101   -7.0896   **   -1.4100  -121.8388 
 -70.000  -0.20520  -0.19074   0.28016  -137.092   -2.7381   **   0.17058  -0.04851   0.17734   -15.876   -6.7102   **   -1.2748  -121.2156 
 -69.000  -0.20654  -0.19129   0.28151  -137.196   -2.6964   **   0.17697  -0.05294   0.18472   -16.655   -6.3560   **   -1.1413  -120.5405 
 -68.000  -0.20774  -0.19201   0.28289  -137.253   -2.6542   **   0.18309  -0.05751   0.19191   -17.440   -6.0246   **   -1.0100  -119.8131 
 -67.000  -0.20880  -0.19292   0.28428  -137.264   -2.6114   **   0.18891  -0.06222   0.19889   -18.230   -5.7140   **   -0.8810  -119.0333 
 -66.000  -0.20972  -0.19401   0.28570  -137.229   -2.5682   **   0.19444  -0.06706   0.20568   -19.028   -5.4224   **   -0.7546  -118.2012 
 -65.000  -0.21051  -0.19528   0.28714  -137.150   -2.5245   **   0.19968  -0.07202   0.21228   -19.833   -5.1484   **   -0.6309  -117.3168 
 -64.000  -0.21116  -0.19673   0.28861  -137.026   -2.4802   **   0.20463  -0.07710   0.21867   -20.646   -4.8904   **   -0.5099  -116.3801 
 -63.000  -0.21168  -0.19837   0.29010  -136.859   -2.4355   **   0.20928  -0.08230   0.22488   -21.468   -4.6474   **   -0.3918  -115.3915 
 -62.000  -0.21206  -0.20018   0.29162  -136.650   -2.3901   **   0.21362  -0.08761   0.23089   -22.299   -4.4182   **   -0.2765  -114.3512 
 -61.000  -0.21230  -0.20218   0.29317  -136.398   -2.3440   **   0.21767  -0.09302   0.23671   -23.138   -4.2020   **   -0.1641  -113.2593 
 -60.000  -0.21240  -0.20437   0.29475  -136.104   -2.2972   **   0.22141  -0.09852   0.24234   -23.988   -3.9978   **   -0.0545  -112.1164 
 -59.000  -0.21236  -0.20673   0.29637  -135.770   -2.2495   **   0.22485  -0.10412   0.24778   -24.847   -3.8049   **    0.0523  -110.9227 
 -58.000  -0.21219  -0.20929   0.29804  -135.395   -2.2009   **   0.22798  -0.10980   0.25304   -25.716   -3.6225   **    0.1565  -109.6787 
 -57.000  -0.21188  -0.21203   0.29975  -134.981   -2.1511   **   0.23080  -0.11556   0.25811   -26.596   -3.4501   **    0.2580  -108.3850 
 -56.000  -0.21144  -0.21495   0.30152  -134.528   -2.1002   **   0.23332  -0.12138   0.26300   -27.486   -3.2871   **    0.3571  -107.0420 
 -55.000  -0.21086  -0.21807   0.30334  -134.037   -2.0478   **   0.23553  -0.12727   0.26771   -28.386   -3.1329   **    0.4537  -105.6506 
 -54.000  -0.21014  -0.22137   0.30523  -133.508   -1.9939   **   0.23743  -0.13322   0.27225   -29.297   -2.9871   **    0.5481  -104.2113 
 -53.000  -0.20928  -0.22487   0.30719  -132.944   -1.9383   **   0.23902  -0.13922   0.27661   -30.219   -2.8491   **    0.6404  -102.7250 
 -52.000  -0.20829  -0.22855   0.30922  -132.344   -1.8809   **   0.24030  -0.14525   0.28079   -31.152   -2.7187   **    0.7307  -101.1927 
 -51.000  -0.20716  -0.23243   0.31135  -131.711   -1.8214   **   0.24128  -0.15133   0.28481   -32.095   -2.5953   **    0.8192   -99.6154 
 -50.000  -0.20590  -0.23650   0.31357  -131.044   -1.7597   **   0.24195  -0.15742   0.28866   -33.050   -2.4787   **    0.9059   -97.9942 
 -49.000  -0.20451  -0.24076   0.31589  -130.346   -1.6956   **   0.24232  -0.16354   0.29234   -34.015   -2.3686   **    0.9912   -96.3306 
 -48.000  -0.20298  -0.24521   0.31832  -129.617   -1.6290   **   0.24238  -0.16967   0.29586   -34.992   -2.2645   **    1.0752   -94.6257 
 -47.000  -0.20132  -0.24986   0.32087  -128.860   -1.5597   **   0.24215  -0.17579   0.29923   -35.979   -2.1662   **    1.1579   -92.8813 
 -46.000  -0.19954  -0.25470   0.32355  -128.076   -1.4875   **   0.24161  -0.18192   0.30244   -36.977   -2.0735   **    1.2397   -91.0990 
 -45.000  -0.19762  -0.25973   0.32637  -127.267   -1.4122   **   0.24078  -0.18803   0.30550   -37.986   -1.9861   **    1.3206   -89.2805 
 -44.000  -0.19558  -0.26496   0.32933  -126.434   -1.3338   **   0.23966  -0.19411   0.30841   -39.006   -1.9038   **    1.4008   -87.4279 
 -43.000  -0.19342  -0.27038   0.33244  -125.579   -1.2521   **   0.23825  -0.20017   0.31117   -40.036   -1.8263   **    1.4806   -85.5432 
 -42.000  -0.19114  -0.27598   0.33571  -124.705   -1.1671   **   0.23655  -0.20619   0.31380   -41.077   -1.7534   **    1.5600   -83.6286 
 -41.000  -0.18874  -0.28178   0.33915  -123.814   -1.0785   **   0.23457  -0.21216   0.31628   -42.128   -1.6849   **    1.6392   -81.6863 
 -40.000  -0.18622  -0.28777   0.34277  -122.908   -0.9864   **   0.23231  -0.21807   0.31863   -43.189   -1.6207   **    1.7183   -79.7189 
 -39.000  -0.18360  -0.29394   0.34656  -121.990   -0.8907   **   0.22978  -0.22392   0.32084   -44.261   -1.5606   **    1.7976   -77.7287 
