 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000   -7.6884  -30.0000  -10.3368   -9.5608
   -89.000   -7.6986  -30.0000  -10.0201   -9.8801
   -88.000   -7.7029  -30.0000   -9.7134  -10.1928
   -87.000   -7.7017  -29.2494   -9.4161  -10.4979
   -86.000   -7.6954  -25.8697   -9.1279  -10.7946
   -85.000   -7.6846  -23.4662   -8.8484  -11.0824
   -84.000   -7.6695  -21.6110   -8.5773  -11.3607
   -83.000   -7.6507  -20.1066   -8.3141  -11.6292
   -82.000   -7.6286  -18.8460   -8.0588  -11.8876
   -81.000   -7.6034  -17.7645   -7.8108  -12.1361
   -80.000   -7.5757  -16.8206   -7.5701  -12.3749
   -79.000   -7.5455  -15.9854   -7.3363  -12.6044
   -78.000   -7.5134  -15.2386   -7.1092  -12.8254
   -77.000   -7.4795  -14.5650   -6.8887  -13.0389
   -76.000   -7.4440  -13.9531   -6.6744  -13.2458
   -75.000   -7.4072  -13.3939   -6.4661  -13.4476
   -74.000   -7.3692  -12.8802   -6.2638  -13.6458
   -73.000   -7.3303  -12.4064   -6.0673  -13.8420
   -72.000   -7.2905  -11.9677   -5.8763  -14.0379
   -71.000   -7.2500  -11.5603   -5.6907  -14.2355
   -70.000   -7.2088  -11.1809   -5.5104  -14.4368
   -69.000   -7.1671  -10.8267   -5.3352  -14.6439
   -68.000   -7.1249  -10.4953   -5.1650  -14.8590
   -67.000   -7.0821  -10.1847   -4.9997  -15.0844
   -66.000   -7.0389   -9.8931   -4.8391  -15.3226
   -65.000   -6.9952   -9.6191   -4.6832  -15.5762
   -64.000   -6.9509   -9.3611   -4.5318  -15.8480
   -63.000   -6.9062   -9.1181   -4.3848  -16.1411
   -62.000   -6.8608   -8.8889   -4.2421  -16.4589
   -61.000   -6.8147   -8.6727   -4.1036  -16.8051
   -60.000   -6.7679   -8.4685   -3.9692  -17.1841
   -59.000   -6.7202   -8.2756   -3.8389  -17.6008
   -58.000   -6.6716   -8.0932   -3.7126  -18.0611
   -57.000   -6.6218   -7.9208   -3.5901  -18.5720
   -56.000   -6.5709   -7.7578   -3.4714  -19.1419
   -55.000   -6.5185   -7.6036   -3.3565  -19.7814
   -54.000   -6.4646   -7.4578   -3.2451  -20.5036
   -53.000   -6.4090   -7.3198   -3.1374  -21.3256
   -52.000   -6.3516   -7.1894   -3.0332  -22.2691
   -51.000   -6.2921   -7.0660   -2.9324  -23.3629
   -50.000   -6.2304   -6.9494   -2.8350  -24.6435
   -49.000   -6.1663   -6.8393   -2.7409  -26.1539
   -48.000   -6.0997   -6.7352   -2.6501  -27.9251
   -47.000   -6.0304   -6.6369   -2.5625  -29.8892
   -46.000   -5.9582   -6.5442   -2.4780  -30.0000
   -45.000   -5.8829   -6.4568   -2.3967  -30.0000
   -44.000   -5.8045   -6.3745   -2.3184  -30.0000
   -43.000   -5.7228   -6.2970   -2.2431  -28.0838
   -42.000   -5.6378   -6.2241   -2.1708  -25.9010
   -41.000   -5.5492   -6.1556   -2.1014  -23.9724
   -40.000   -5.4571   -6.0914   -2.0348  -22.2920
   -39.000   -5.3614   -6.0313   -1.9711  -20.8179
   -38.000   -5.2621   -5.9750   -1.9101  -19.5104
   -37.000   -5.1592   -5.9225   -1.8519  -18.3375
   -36.000   -5.0527   -5.8736   -1.7965  -17.2750
   -35.000   -4.9427   -5.8281   -1.7437  -16.3042
   -34.000   -4.8294   -5.7860   -1.6935  -15.4107
   -33.000   -4.7127   -5.7471   -1.6460  -14.5831
   -32.000   -4.5929   -5.7112   -1.6010  -13.8127
   -31.000   -4.4702   -5.6784   -1.5586  -13.0921
   -30.000   -4.3446   -5.6484   -1.5188  -12.4157
   -29.000   -4.2165   -5.6212   -1.4815  -11.7785
   -28.000   -4.0861   -5.5968   -1.4466  -11.1765
   -27.000   -3.9536   -5.5749   -1.4143  -10.6064
   -26.000   -3.8193   -5.5556   -1.3845  -10.0654
   -25.000   -3.6835   -5.5388   -1.3571   -9.5510
   -24.000   -3.5465   -5.5244   -1.3322   -9.0610
   -23.000   -3.4085   -5.5123   -1.3098   -8.5938
   -22.000   -3.2700   -5.5025   -1.2898   -8.1476
   -21.000   -3.1311   -5.4949   -1.2723   -7.7212
   -20.000   -2.9923   -5.4894   -1.2573   -7.3132
   -19.000   -2.8538   -5.4861   -1.2447   -6.9226
   -18.000   -2.7159   -5.4848   -1.2347   -6.5484
   -17.000   -2.5790   -5.4855   -1.2273   -6.1897
   -16.000   -2.4433   -5.4882   -1.2224   -5.8459
   -15.000   -2.3091   -5.4928   -1.2201   -5.5161
   -14.000   -2.1768   -5.4992   -1.2204   -5.1998
   -13.000   -2.0465   -5.5074   -1.2234   -4.8963
   -12.000   -1.9185   -5.5173   -1.2291   -4.6052
   -11.000   -1.7931   -5.5289   -1.2375   -4.3259
