 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00147935   0.00044525   0.00154490        16.75
     2   0.00133000   0.00030141   0.00136373        12.77
     3   0.00115243   0.00017463   0.00116558         8.62
     4   0.00094945   0.00006601   0.00095175         3.98
     5   0.00072691  -0.00002057   0.00072720        -1.62
     6   0.00048953  -0.00008297   0.00049651        -9.62
     7   0.00024188  -0.00011974   0.00026990       -26.34
     8  -0.00001177  -0.00013040   0.00013093       -95.16
     9  -0.00026747  -0.00011538   0.00029129      -156.67
    10  -0.00052157  -0.00007613   0.00052709      -171.70
    11  -0.00077079  -0.00001511   0.00077094      -178.88
    12  -0.00101222   0.00006424   0.00101425      -183.63
    13  -0.00124321   0.00015758   0.00125315      -187.22
    14  -0.00146133   0.00025987   0.00148426      -190.08
    15  -0.00166419   0.00036568   0.00170390      -192.39
    16  -0.00184910   0.00046971   0.00190783      -194.25
    17  -0.00201269   0.00056740   0.00209114      -195.74
    18  -0.00215064   0.00065548   0.00224831      -196.95
    19  -0.00225796   0.00073177   0.00237358      -197.96
    20  -0.00232981   0.00079429   0.00246149      -198.83
    21  -0.00236237   0.00084035   0.00250738      -199.58
    22  -0.00235315   0.00086638   0.00250757      -200.21
    23  -0.00230084   0.00086843   0.00245928      -200.68
    24  -0.00220504   0.00084280   0.00236061      -200.92
    25  -0.00206606   0.00078649   0.00221069      -200.84
    26  -0.00188493   0.00069752   0.00200985      -200.31
    27  -0.00166337   0.00057508   0.00175997      -199.07
    28  -0.00140389   0.00041955   0.00146524      -196.64
    29  -0.00110984   0.00023251   0.00113393      -191.83
    30  -0.00078541   0.00001663   0.00078558      -181.21
    31  -0.00043568  -0.00022442   0.00049009      -152.75
    32  -0.00006656  -0.00048617   0.00049071       -97.80
    33   0.00031529  -0.00076350   0.00082604       -67.56
    34   0.00070258  -0.00105087   0.00126410       -56.23
    35   0.00108754  -0.00134256   0.00172778       -50.99
    36   0.00146206  -0.00163295   0.00219184       -48.16
    37   0.00181792  -0.00191664   0.00264165       -46.51
    38   0.00214659  -0.00218985   0.00306648       -45.57
    39   0.00244076  -0.00244604   0.00345549       -45.06
    40   0.00268557  -0.00270487   0.00381164       -45.21
    41   0.00289882  -0.00288040   0.00408654       -44.82
    42   0.00202925   0.00244769   0.00317947        50.34
    43   0.00196086   0.00172818   0.00261373        41.39
    44   0.00203335   0.00158049   0.00257536        37.86
    45   0.00204893   0.00136918   0.00246429        33.75
    46   0.00203457   0.00118306   0.00235353        30.18
    47   0.00198379   0.00100183   0.00222241        26.79
    48   0.00192154   0.00085557   0.00210340        24.00
    49   0.00034677   0.00027621   0.00044333        38.54
    50   0.00029321   0.00021818   0.00036548        36.65
    51   0.00019359   0.00012796   0.00023206        33.46
    52  -0.00294802   0.00479118   0.00562550       121.60
    53  -0.00228713   0.00506786   0.00556005       114.29
    54  -0.00157068   0.00527190   0.00550091       106.59
    55  -0.00080640   0.00540171   0.00546157        98.49
    56  -0.00001774   0.00544695   0.00544698        90.19
    57   0.00077940   0.00540464   0.00546055        81.79
    58   0.00156977   0.00527405   0.00550271        73.42
    59   0.00233916   0.00505681   0.00557163        65.18
    60   0.00307404   0.00475642   0.00566332        57.13
    61   0.00376160   0.00437807   0.00577210        49.33
    62   0.00438991   0.00392849   0.00589104        41.83
    63   0.00494804   0.00341574   0.00601252        34.62
    64   0.00542622   0.00284911   0.00612872        27.70
    65   0.00581601   0.00223886   0.00623205        21.05
    66   0.00611043   0.00159611   0.00631545        14.64
    67   0.00630412   0.00093254   0.00637272         8.41
    68   0.00639336   0.00026028   0.00639866         2.33
    69   0.00637623  -0.00040842   0.00638930        -3.66
    70   0.00625259  -0.00106135   0.00634203        -9.63
    71   0.00602411  -0.00168658   0.00625576       -15.64
    72   0.00569426  -0.00227272   0.00613105       -21.76
    73   0.00526821  -0.00280907   0.00597034       -28.07
    74   0.00475283  -0.00328588   0.00577810       -34.66
    75   0.00415652  -0.00369449   0.00556111       -41.63
    76   0.00348906  -0.00402753   0.00532865       -49.10
    77   0.00276150  -0.00427901   0.00509273       -57.16
    78   0.00198595  -0.00444451   0.00486803       -65.92
    79   0.00117536  -0.00452119   0.00467147       -75.43
    80   0.00034331  -0.00450788   0.00452094       -85.64
    81  -0.00049620  -0.00440511   0.00443297       -96.43
    82  -0.00132900  -0.00421509   0.00441964      -107.50
    83  -0.00214100  -0.00394167   0.00448560      -118.51
    84  -0.00291843  -0.00359027   0.00462680      -129.11
    85  -0.00364805  -0.00316780   0.00483148      -139.03
    86  -0.00431742  -0.00268249   0.00508290      -148.15
    87  -0.00491505  -0.00214380   0.00536224      -156.43
    88  -0.00543068  -0.00156217   0.00565090      -163.95
    89  -0.00585537  -0.00094890   0.00593176      -170.79
    90  -0.00618172  -0.00031586   0.00618978      -177.07
    91  -0.00640396   0.00032465   0.00641218      -182.90
    92  -0.00651806   0.00096018   0.00658840      -188.38
    93  -0.00652183   0.00157837   0.00671010      -193.60
    94  -0.00641490   0.00216714   0.00677108      -198.67
    95  -0.00619881   0.00271496   0.00676729      -203.65
    96  -0.00587691   0.00321102   0.00669692      -208.65
    97  -0.00545436   0.00364550   0.00656047      -213.76
    98  -0.00493802   0.00400969   0.00636095      -219.08
    99  -0.00433635   0.00429618   0.00610419      -224.73
   100  -0.00365928   0.00449903   0.00579928      -230.88
   101  -0.00291802   0.00461383   0.00545915      -237.69
   102  -0.00212491   0.00463785   0.00510146      -245.38
   103  -0.00129317   0.00457003   0.00474947      -254.20
   104  -0.00043673   0.00441105   0.00443262      -264.35
   105   0.00043002   0.00416331   0.00418546      -275.90
   106   0.00129250   0.00383090   0.00404306      -288.64
   107   0.00213614   0.00341949   0.00403187      -301.99
   108   0.00294662   0.00293627   0.00415984      -315.10
   109   0.00371017   0.00238981   0.00441322      -327.21
   110   0.00441371   0.00178988   0.00476283      -337.93
   111   0.00504517   0.00114730   0.00517397      -347.19
   112   0.00559360   0.00047373   0.00561362      -355.16
   113   0.00604941  -0.00021857   0.00605336      -362.07
   114   0.00640455  -0.00091690   0.00646985      -368.15
   115   0.00665259  -0.00160845   0.00684427      -373.59
   116   0.00678887  -0.00228047   0.00716165      -378.57
   117   0.00681059  -0.00292052   0.00741037      -383.21
   118   0.00671685  -0.00351672   0.00758178      -387.64
   119   0.00650868  -0.00405796   0.00767007      -391.94
   120   0.00618903  -0.00453412   0.00767218      -396.23
   121   0.00576273  -0.00493621   0.00758784      -400.58
   122   0.00523642  -0.00525663   0.00741972      -405.11
   123   0.00461845  -0.00548921   0.00717367      -409.92
   124   0.00391875  -0.00562939   0.00685905      -415.16
   125   0.00314867  -0.00567429   0.00648935      -420.97
   126   0.00232080  -0.00562274   0.00608287      -427.57
   127   0.00144878  -0.00547534   0.00566377      -435.18
   128   0.00054706  -0.00523441   0.00526292      -444.03
   129  -0.00036934  -0.00490397   0.00491786      -454.31
   130  -0.00128506  -0.00448964   0.00466993      -465.97
   131  -0.00218467  -0.00399857   0.00455647      -478.65
   132  -0.00305295  -0.00343928   0.00459882      -491.59
   133  -0.00387508  -0.00282149   0.00479344      -503.94
   134  -0.00463700  -0.00215598   0.00511371      -515.06
   135  -0.00532556  -0.00145436   0.00552058      -524.73
   136  -0.00592881  -0.00072885   0.00597345      -172.99
   137  -0.00643620   0.00000793   0.00643621      -180.07
   138  -0.00683878   0.00074318   0.00687904      -186.20
   139  -0.00712937   0.00146418   0.00727817      -191.61
   140  -0.00730278   0.00215841   0.00761508      -196.47
   141  -0.00735601   0.00281373   0.00787579      -200.93
   142  -0.00660003   0.00079660   0.00664793      -186.88
   143  -0.00643156   0.00140541   0.00658332      -192.33
   144  -0.00616132   0.00198364   0.00647276      -197.85
