 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    15.000   -4.9883   -9.2104  -14.3997   -7.2000
    16.000   -5.0991   -8.4804  -14.1898   -7.0775
    17.000   -5.2112   -7.8247  -13.8851   -6.9650
    18.000   -5.3253   -7.2337  -13.5174   -6.8621
    19.000   -5.4420   -6.6996  -13.1144   -6.7687
    20.000   -5.5622   -6.2161  -12.6981   -6.6846
    21.000   -5.6867   -5.7776  -12.2843   -6.6097
    22.000   -5.8161   -5.3799  -11.8840   -6.5437
    23.000   -5.9514   -5.0192  -11.5041   -6.4867
    24.000   -6.0933   -4.6922  -11.1490   -6.4384
    25.000   -6.2427   -4.3964  -10.8208   -6.3987
    26.000   -6.4003   -4.1292  -10.5208   -6.3675
    27.000   -6.5670   -3.8888  -10.2490   -6.3448
    28.000   -6.7436   -3.6734  -10.0052   -6.3304
    29.000   -6.9309   -3.4814   -9.7888   -6.3242
    30.000   -7.1298   -3.3115   -9.5990   -6.3263
    31.000   -7.3412   -3.1625   -9.4349   -6.3365
    32.000   -7.5659   -3.0333   -9.2956   -6.3547
    33.000   -7.8049   -2.9231   -9.1803   -6.3810
    34.000   -8.0593   -2.8309   -9.0880   -6.4153
    35.000   -8.3299   -2.7561   -9.0180   -6.4575
    36.000   -8.6180   -2.6980   -8.9694   -6.5077
    37.000   -8.9246   -2.6560   -8.9415   -6.5658
    38.000   -9.2512   -2.6295   -8.9337   -6.6318
    39.000   -9.5990   -2.6182   -8.9452   -6.7057
    40.000   -9.9697   -2.6215   -8.9756   -6.7876
    41.000  -10.3648   -2.6391   -9.0242   -6.8773
    42.000  -10.7863   -2.6706   -9.0905   -6.9750
    43.000  -11.2363   -2.7158   -9.1739   -7.0807
    44.000  -11.7170   -2.7745   -9.2740   -7.1943
    45.000  -12.2311   -2.8462   -9.3903   -7.3160
    46.000  -12.7814   -2.9310   -9.5223   -7.4457
    47.000  -13.3710   -3.0285   -9.6694   -7.5836
    48.000  -14.0032   -3.1388   -9.8311   -7.7297
    49.000  -14.6817   -3.2616  -10.0069   -7.8840
    50.000  -15.4095   -3.3969  -10.1960   -8.0467
    51.000  -16.1895   -3.5446  -10.3978   -8.2178
    52.000  -17.0222   -3.7047  -10.6114   -8.3974
    53.000  -17.9046   -3.8773  -10.8360   -8.5856
    54.000  -18.8259   -4.0623  -11.0704   -8.7825
    55.000  -19.7616   -4.2598  -11.3133   -8.9881
    56.000  -20.6642   -4.4699  -11.5634   -9.2027
    57.000  -21.4546   -4.6927  -11.8189   -9.4264
    58.000  -22.0243   -4.9284  -12.0779   -9.6591
    59.000  -22.2661   -5.1771  -12.3381   -9.9011
    60.000  -22.1306   -5.4391  -12.5969  -10.1524
    61.000  -21.6594   -5.7147  -12.8514  -10.4132
    62.000  -20.9565   -6.0041  -13.0984  -10.6835
    63.000  -20.1320   -6.3076  -13.3344  -10.9633
    64.000  -19.2679   -6.6257  -13.5558  -11.2527
    65.000  -18.4139   -6.9587  -13.7588  -11.5517
    66.000  -17.5962   -7.3072  -13.9398  -11.8601
    67.000  -16.8261   -7.6716  -14.0952  -12.1777
    68.000  -16.1072   -8.0526  -14.2222  -12.5044
    69.000  -15.4388   -8.4506  -14.3183  -12.8396
    70.000  -14.8182   -8.8663  -14.3820  -13.1829
    71.000  -14.2419   -9.3004  -14.4127  -13.5333
    72.000  -13.7063   -9.7535  -14.4107  -13.8898
    73.000  -13.2080  -10.2262  -14.3771  -14.2510
    74.000  -12.7435  -10.7191  -14.3140  -14.6150
    75.000  -12.3098  -11.2324  -14.2240  -14.9794
