 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    15.000   -5.0359   -3.6769   -4.3110  -25.6854
    16.000   -4.5247   -3.2211   -3.8293  -25.5468
    17.000   -4.0611   -2.8091   -3.3931  -25.4430
    18.000   -3.6398   -2.4369   -2.9979  -25.3736
    19.000   -3.2568   -2.1010   -2.6398  -25.3388
    20.000   -2.9087   -1.7985   -2.3158  -25.3389
    21.000   -2.5923   -1.5269   -2.0230  -25.3743
    22.000   -2.3053   -1.2842   -1.7593  -25.4461
    23.000   -2.0455   -1.0684   -1.5226  -25.5553
    24.000   -1.8110   -0.8781   -1.3113  -25.7033
    25.000   -1.6003   -0.7119   -1.1238  -25.8921
    26.000   -1.4119   -0.5687   -0.9590  -26.1239
    27.000   -1.2445   -0.4473   -0.8156  -26.4015
    28.000   -1.0971   -0.3469   -0.6926  -26.7285
    29.000   -0.9687   -0.2667   -0.5892  -27.1090
    30.000   -0.8584   -0.2061   -0.5045  -27.5479
    31.000   -0.7655   -0.1643   -0.4380  -28.0514
    32.000   -0.6892   -0.1409   -0.3888  -28.6269
    33.000   -0.6288   -0.1354   -0.3566  -29.2829
    34.000   -0.5839   -0.1475   -0.3408  -30.0000
    35.000   -0.5539   -0.1767   -0.3410  -30.0000
    36.000   -0.5384   -0.2228   -0.3567  -30.0000
    37.000   -0.5368   -0.2855   -0.3877  -30.0000
    38.000   -0.5489   -0.3646   -0.4336  -30.0000
    39.000   -0.5742   -0.4600   -0.4941  -30.0000
    40.000   -0.6125   -0.5716   -0.5691  -30.0000
    41.000   -0.6635   -0.6993   -0.6583  -30.0000
    42.000   -0.7268   -0.8430   -0.7615  -30.0000
    43.000   -0.8024   -1.0027   -0.8787  -30.0000
    44.000   -0.8900   -1.1786   -1.0096  -30.0000
    45.000   -0.9893   -1.3706   -1.1543  -30.0000
    46.000   -1.1004   -1.5788   -1.3126  -30.0000
    47.000   -1.2229   -1.8035   -1.4845  -30.0000
    48.000   -1.3569   -2.0448   -1.6701  -29.6337
    49.000   -1.5022   -2.3029   -1.8693  -28.5716
    50.000   -1.6588   -2.5782   -2.0823  -27.6108
    51.000   -1.8266   -2.8709   -2.3090  -26.7400
    52.000   -2.0057   -3.1814   -2.5496  -25.9490
    53.000   -2.1961   -3.5101   -2.8043  -25.2288
    54.000   -2.3978   -3.8575   -3.0732  -24.5719
    55.000   -2.6109   -4.2242   -3.3565  -23.9718
    56.000   -2.8355   -4.6107   -3.6546  -23.4234
    57.000   -3.0719   -5.0176   -3.9676  -22.9222
    58.000   -3.3202   -5.4458   -4.2959  -22.4646
    59.000   -3.5807   -5.8959   -4.6399  -22.0475
    60.000   -3.8537   -6.3689   -5.0002  -21.6685
    61.000   -4.1395   -6.8657   -5.3770  -21.3254
    62.000   -4.4385   -7.3872   -5.7711  -21.0166
    63.000   -4.7514   -7.9347   -6.1831  -20.7408
    64.000   -5.0787   -8.5092   -6.6137  -20.4968
    65.000   -5.4211   -9.1120   -7.0638  -20.2839
    66.000   -5.7795   -9.7441   -7.5343  -20.1016
    67.000   -6.1547  -10.4069   -8.0262  -19.9496
    68.000   -6.5479  -11.1013   -8.5408  -19.8278
    69.000   -6.9605  -11.8281   -9.0794  -19.7363
    70.000   -7.3940  -12.5876   -9.6437  -19.6757
    71.000   -7.8501  -13.3795  -10.2354  -19.6466
    72.000   -8.3311  -14.2022  -10.8565  -19.6498
    73.000   -8.8396  -15.0523  -11.5096  -19.6867
    74.000   -9.3785  -15.9238  -12.1972  -19.7586
    75.000   -9.9516  -16.8067  -12.9226  -19.8676
    76.000  -10.5635  -17.6862  -13.6895  -20.0158
    77.000  -11.2197  -18.5411  -14.5019  -20.2061
    78.000  -11.9271  -19.3439  -15.3648  -20.4418
    79.000  -12.6947  -20.0628  -16.2838  -20.7266
    80.000  -13.5337  -20.6660  -17.2648  -21.0652
    81.000  -14.4594  -21.1302  -18.3145  -21.4627
    82.000  -15.4922  -21.4471  -19.4389  -21.9251
    83.000  -16.6609  -21.6270  -20.6421  -22.4585
    84.000  -18.0077  -21.6954  -21.9220  -23.0687
    85.000  -19.5981  -21.6856  -23.2626  -23.7593
    86.000  -21.5420  -21.6311  -24.6178  -24.5278
    87.000  -24.0452  -21.5606  -25.8870  -25.3569
    88.000  -27.5703  -21.4957  -26.8975  -26.1984
    89.000  -30.0000  -21.4512  -27.4462  -26.9486
    90.000  -30.0000  -21.4355  -27.4320  -27.4320




