 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       210         7         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
   157    0.8128467   -0.5824777   -0.0000000      -0.192225      -0.250512      -0.062500       0.020663       0.005000            1
   158    0.8492022   -0.5280679   -0.0000000      -0.175429      -0.262548      -0.062500       0.020663       0.005000            1
   159    0.8819213   -0.4713967   -0.0000000      -0.157882      -0.273459      -0.062500       0.020663       0.005000            1
   160    0.9108638   -0.4127070   -0.0000000      -0.139659      -0.283200      -0.062500       0.020663       0.005000            1
   161    0.9359059   -0.3522500   -0.0000000      -0.120837      -0.291727      -0.062500       0.020663       0.005000            1
   162    0.9569403   -0.2902847   -0.0000000      -0.101499      -0.299006      -0.062500       0.020663       0.005000            1
   163    0.9738770   -0.2270763   -0.0000000      -0.081726      -0.305004      -0.062500       0.020663       0.005000            1
   164    0.9866433   -0.1628955   -0.0000000      -0.061602      -0.309696      -0.062500       0.020663       0.005000            1
   165    0.9951847   -0.0980171   -0.0000000      -0.041215      -0.313062      -0.062500       0.020663       0.005000            1
   166    0.9994646   -0.0327191   -0.0000000      -0.020652      -0.315087      -0.062500       0.020663       0.005000            1
   167    0.9994646    0.0327191   -0.0000000      -0.000000      -0.315763      -0.062500       0.020663       0.005000            1
   168    0.9951847    0.0980171   -0.0000000       0.020652      -0.315087      -0.062500       0.020663       0.005000            1
   169    0.9866433    0.1628955   -0.0000000       0.041215      -0.313062      -0.062500       0.020663       0.005000            1
   170    0.9738770    0.2270763   -0.0000000       0.061602      -0.309696      -0.062500       0.020663       0.005000            1
   171    0.9569403    0.2902847   -0.0000000       0.081726      -0.305004      -0.062500       0.020663       0.005000            1
   172    0.9359059    0.3522500   -0.0000000       0.101499      -0.299006      -0.062500       0.020663       0.005000            1
   173    0.9108638    0.4127070   -0.0000000       0.120837      -0.291727      -0.062500       0.020663       0.005000            1
   174    0.8819213    0.4713967   -0.0000000       0.139659      -0.283200      -0.062500       0.020663       0.005000            1
   175    0.8492022    0.5280679   -0.0000000       0.157882      -0.273459      -0.062500       0.020663       0.005000            1
   176    0.8128467    0.5824777   -0.0000000       0.175429      -0.262548      -0.062500       0.020663       0.005000            1
   177    0.7730105    0.6343933   -0.0000000       0.192225      -0.250512      -0.062500       0.020663       0.005000            1
   178    0.7298641    0.6835923   -0.0000000       0.208197      -0.237403      -0.062500       0.020663       0.005000            1
   179    0.6835923    0.7298641   -0.0000000       0.223278      -0.223278      -0.062500       0.020663       0.005000            1
   180    0.6343933    0.7730105   -0.0000000       0.237403      -0.208197      -0.062500       0.020663       0.005000            1
   181    0.5824777    0.8128467   -0.0000000       0.250512      -0.192225      -0.062500       0.020663       0.005000            1
   182    0.5280679    0.8492022   -0.0000000       0.262548      -0.175429      -0.062500       0.020663       0.005000            1
   183    0.4713967    0.8819213   -0.0000000       0.273459      -0.157882      -0.062500       0.020663       0.005000            1
   184    0.4127070    0.9108638   -0.0000000       0.283200      -0.139659      -0.062500       0.020663       0.005000            1
   185    0.3522500    0.9359059   -0.0000000       0.291727      -0.120837      -0.062500       0.020663       0.005000            1
