 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   119   0.00444462  -0.00229771   0.00500341       -27.34
   120   0.00409123  -0.00293665   0.00503608       -35.67
   121   0.00366983  -0.00352512   0.00508863       -43.85
   122   0.00318765  -0.00405333   0.00515660       -51.82
   123   0.00265293  -0.00451249   0.00523456       -59.55
   124   0.00207479  -0.00489503   0.00531658       -67.03
   125   0.00146306  -0.00519464   0.00539675       -74.27
   126   0.00082810  -0.00540646   0.00546951       -81.29
   127   0.00018066  -0.00552706   0.00553002       -88.13
   128  -0.00046834  -0.00555460   0.00557431       -94.82
   129  -0.00110797  -0.00548877   0.00559948      -101.41
   130  -0.00172748  -0.00533085   0.00560376      -107.96
   131  -0.00231648  -0.00508366   0.00558656      -114.50
   132  -0.00286512  -0.00475151   0.00554849      -121.09
   133  -0.00336426  -0.00434014   0.00549136      -127.78
   134  -0.00380559  -0.00385659   0.00541810      -134.62
   135  -0.00418183  -0.00330914   0.00533274      -141.64
   136  -0.00448677  -0.00270708   0.00524017      -148.90
   137  -0.00471544  -0.00206064   0.00514603      -156.39
   138  -0.00486417  -0.00138076   0.00505635      -164.15
   139  -0.00493062  -0.00067893   0.00497715      -172.16
   140  -0.00491387   0.00003303   0.00491399      -180.39
   141  -0.00481439   0.00074314   0.00487141      -188.77
   142  -0.00463403   0.00143945   0.00485245      -197.26
   143  -0.00437603   0.00211031   0.00485830      -205.75
   144  -0.00404489   0.00274449   0.00488808      -214.16
   145  -0.00364637   0.00333139   0.00493904      -222.42
   146  -0.00318733   0.00386124   0.00500682      -230.46
   147  -0.00267564   0.00432524   0.00508593      -238.26
   148  -0.00212003   0.00471572   0.00517036      -245.79
   149  -0.00152998   0.00502626   0.00525396      -253.07
   150  -0.00091549   0.00525178   0.00533097      -260.11
   151  -0.00028698   0.00538864   0.00539628      -266.95
   152   0.00034494   0.00543472   0.00544566      -273.63
   153   0.00096960   0.00538941   0.00547594      -280.20
   154   0.00157651   0.00525364   0.00548508      -286.70
   155   0.00215547   0.00502985   0.00547224      -293.20
   156   0.00269679   0.00472198   0.00543781      -299.73
   157   0.00319143   0.00433535   0.00538335      -306.36
   158   0.00363117   0.00387660   0.00531163      -313.13
   159   0.00400871   0.00335358   0.00522649      -320.09
   160   0.00431782   0.00277520   0.00513277      -327.27
   161   0.00455346   0.00215127   0.00503607      -334.71
   162   0.00471181   0.00149238   0.00494250      -342.43
   163   0.00479037   0.00080964   0.00485831      -350.41
   164   0.00478799   0.00011460   0.00478936      -358.63
   165   0.00470489  -0.00058107   0.00474063      -367.04
   166   0.00454263  -0.00126566   0.00471565      -375.57
   167   0.00430412  -0.00192770   0.00471608      -384.13
   168   0.00399354  -0.00255610   0.00474152      -392.62
   169   0.00361627  -0.00314037   0.00478951      -400.97
   170   0.00317881  -0.00367079   0.00485587      -409.11
   171   0.00268865  -0.00413854   0.00493521      -416.99
   172   0.00215415  -0.00453590   0.00502142      -424.60
   173   0.00158439  -0.00485633   0.00510825      -431.93
   174   0.00098904  -0.00509461   0.00518972      -439.01
   175   0.00037817  -0.00524691   0.00526052      -445.88
   176  -0.00023792  -0.00531088   0.00531620      -452.57
   177  -0.00084886  -0.00528563   0.00535336      -459.12
   178  -0.00144440  -0.00517184   0.00536975      -465.60
   179  -0.00201458  -0.00497166   0.00536433      -472.06
   180  -0.00254988  -0.00468878   0.00533728      -478.54
   181  -0.00304142  -0.00432831   0.00529004      -485.09
   182  -0.00348107  -0.00389690   0.00522529      -491.77
   183  -0.00386164  -0.00340268   0.00514689      -138.62
   184  -0.00417695  -0.00285592   0.00505996      -145.64
   185  -0.00442202  -0.00226879   0.00497008      -152.84
   186  -0.00459330  -0.00166473   0.00488567      -160.08
   187  -0.00468791  -0.00105148   0.00480438      -167.36
   188  -0.00470973  -0.00062082   0.00475047      -172.49
   189  -0.00560438   0.00062772   0.00563942      -186.39
   190  -0.00544716   0.00123991   0.00558650      -192.82
   191  -0.00520559   0.00184030   0.00552131      -199.47
   192  -0.00489235   0.00241338   0.00545522      -206.26
   193  -0.00450979   0.00293926   0.00538307      -213.09
   194  -0.00418267   0.00329767   0.00532629      -218.25
   195  -0.00132594  -0.00122617   0.00180599      -137.24
   196  -0.00096824  -0.00089701   0.00131989      -137.19
   197   0.00095751  -0.00081800   0.00125935       -40.51
   198   0.00096516  -0.00043849   0.00106010       -24.43
   199   0.00097478   0.00010290   0.00098020         6.03
   200   0.00097757   0.00244674   0.00263481        68.22
   201   0.00097478   0.00010290   0.00098020         6.03
   202   0.00096516  -0.00043849   0.00106010       -24.43
   203   0.00095751  -0.00081800   0.00125935       -40.51



