 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   117  -0.00442901   0.00003998   0.00442919      -540.52
   118  -0.00426504   0.00078467   0.00433663      -550.42
   119  -0.00403151   0.00151357   0.00430627      -560.58
   120  -0.00373260   0.00221463   0.00434015      -570.68
   121  -0.00337363   0.00287630   0.00443334      -580.45
   122  -0.00296088   0.00348774   0.00457505      -589.67
   123  -0.00250149   0.00403896   0.00475086      -598.23
   124  -0.00200341   0.00452103   0.00494503      -606.10
   125  -0.00147516   0.00492621   0.00514234      -613.33
   126  -0.00092578   0.00524808   0.00532911      -620.00
   127  -0.00036459   0.00548166   0.00549377      -626.19
   128   0.00019891   0.00562349   0.00562700      -632.03
   129   0.00075520   0.00567170   0.00572176      -637.58
   130   0.00129496   0.00562607   0.00577318      -642.96
   131   0.00180916   0.00548803   0.00577854      -648.25
   132   0.00228925   0.00526070   0.00573722      -653.52
   133   0.00272733   0.00494886   0.00565062      -658.86
   134   0.00311622   0.00455897   0.00552223      -664.35
   135   0.00344966   0.00409922   0.00535759      -670.08
   136   0.00372240   0.00357954   0.00516424        43.88
   137   0.00393034   0.00301198   0.00495173        37.46
   138   0.00407058   0.00241019   0.00473060        30.63
   139   0.00414230   0.00179485   0.00451444        23.43
   140   0.00414382   0.00117301   0.00430664        15.81
   141   0.00409369   0.00067890   0.00414960         9.42
   142   0.00473602  -0.00111294   0.00486503       -13.22
   143   0.00451526  -0.00171991   0.00483174       -20.85
   144   0.00422266  -0.00230926   0.00481285       -28.67
   145   0.00387092  -0.00286759   0.00481737       -36.53
   146   0.00346355  -0.00337904   0.00483881       -44.29
   147   0.00312372  -0.00373126   0.00486620       -50.06
   148   0.00123889   0.00102438   0.00160755        39.59
   149   0.00088741   0.00072008   0.00114281        39.06
   150  -0.00085392   0.00106297   0.00136349       128.78
   151  -0.00088235   0.00079740   0.00118928       137.90
   152  -0.00093051   0.00029147   0.00097510       162.61
   153  -0.00097015  -0.00022165   0.00099515       192.87
   154   0.00093310   0.00031264   0.00098408        18.52
   155   0.00090683  -0.00003832   0.00090764        -2.42
   156   0.00086164  -0.00054691   0.00102055       -32.40
   157   0.00080167  -0.00105095   0.00132181       -52.66
   158   0.00076724  -0.00130250   0.00151167       -59.50
   159  -0.00237531   0.00493440   0.00547635       115.71
   160  -0.00175644   0.00521181   0.00549983       108.62
   161  -0.00109262   0.00541917   0.00552822       101.40
   162  -0.00039007   0.00555494   0.00556862        94.02
   163   0.00033014   0.00560905   0.00561875        86.63
   164   0.00105318   0.00557735   0.00567592        79.31
   165   0.00176481   0.00545767   0.00573591        72.08
   166   0.00245174   0.00524999   0.00579426        64.97
   167   0.00310142   0.00495620   0.00584660        57.96
   168   0.00370201   0.00457993   0.00588903        51.05
   169   0.00424257   0.00412656   0.00591844        44.21
   170   0.00471318   0.00360306   0.00593263        37.40
   171   0.00510512   0.00301791   0.00593044        30.59
   172   0.00541110   0.00238094   0.00591176        23.75
   173   0.00562534   0.00170313   0.00587751        16.84
   174   0.00574377   0.00099644   0.00582957         9.84
   175   0.00576411   0.00027350   0.00577060         2.72
   176   0.00568594  -0.00045264   0.00570393        -4.55
   177   0.00551069  -0.00116881   0.00563328       -11.97
   178   0.00524167  -0.00186203   0.00556257       -19.56
   179   0.00488394  -0.00251979   0.00549565       -27.29
   180   0.00444424  -0.00313035   0.00543602       -35.16
   181   0.00393080  -0.00368301   0.00538663       -43.14
   182   0.00335315  -0.00416834   0.00534964       -51.19
   183   0.00272194  -0.00457834   0.00532637       -59.27
   184   0.00204863  -0.00490664   0.00531715       -67.34
   185   0.00134529  -0.00514856   0.00532142       -75.36
   186   0.00062432  -0.00530117   0.00533781       -83.28
   187  -0.00010182  -0.00536330   0.00536426       -91.09
   188  -0.00082081  -0.00533548   0.00539825       -98.75
   189  -0.00152076  -0.00521990   0.00543692      -106.24
   190  -0.00219039  -0.00502026   0.00547730      -113.57
   191  -0.00281918  -0.00474167   0.00551645      -120.73
   192  -0.00339758  -0.00439053   0.00555161      -127.73
   193  -0.00391713  -0.00397444   0.00558033      -134.58
   194  -0.00437052  -0.00350215   0.00560058      -141.29
   195  -0.00475178  -0.00298365   0.00561084      -147.88
   196  -0.00505631  -0.00243075   0.00561024      -154.32
   197  -0.00528098  -0.00185699   0.00559796      -160.63
   198  -0.00542490  -0.00128433   0.00557486      -166.68
   199  -0.00548688  -0.00072149   0.00553411      -172.51
   200  -0.00633756   0.00074856   0.00638161      -186.74
   201  -0.00624684   0.00114428   0.00635078       169.62
   202  -0.00604828   0.00167284   0.00627536       164.54
   203  -0.00576321   0.00218852   0.00616475       159.21
   204  -0.00540352   0.00267917   0.00603125       153.63
   205  -0.00496967   0.00312959   0.00587298       147.80
   206  -0.00458957   0.00344546   0.00573893       143.10
   207  -0.00177209  -0.00123132   0.00215788      -145.21
   208  -0.00148417  -0.00103281   0.00180817      -145.17
   209  -0.00096026  -0.00067088   0.00117141      -145.06
   210  -0.00150240   0.00503973   0.00525891       106.60
   211  -0.00096787   0.00534903   0.00543589       100.26
   212  -0.00040634   0.00557715   0.00559193        94.17
   213   0.00017625   0.00572321   0.00572592        88.24
   214   0.00076129   0.00577707   0.00582701        82.49
   215   0.00133650   0.00573574   0.00588939        76.88
   216   0.00189041   0.00559844   0.00590899        71.34
   217   0.00241269   0.00536673   0.00588412        65.79
   218   0.00289390   0.00504409   0.00581528        60.16
   219   0.00332549   0.00463574   0.00570517        54.35
   220   0.00369991   0.00414845   0.00555868        48.27
   221   0.00401063   0.00359039   0.00538295        41.84
   222   0.00425228   0.00297099   0.00518736        34.94
   223   0.00442067   0.00230073   0.00498354        27.49
   224   0.00451291   0.00159096   0.00478513        19.42
   225   0.00452741   0.00085371   0.00460720        10.68
   226   0.00446391   0.00010146   0.00446506         1.30
   227   0.00432349  -0.00065304   0.00437254        -8.59
   228   0.00410854  -0.00139702   0.00433956       -18.78
   229   0.00382272  -0.00211787   0.00437019       -28.99
   230   0.00347087  -0.00280339   0.00446161       -38.93
   231   0.00305898  -0.00344200   0.00460485       -48.37
   232   0.00259403  -0.00402288   0.00478670       -57.19
