 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -51.000   0.01342  -0.00565   0.01456   -22.817  -24.3940   **   0.01751   0.02951   0.03431    59.308  -16.9488   **  -16.2296   -82.1258 
 -50.000   0.01275  -0.00511   0.01374   -21.849  -24.8999   **   0.01961   0.02975   0.03563    56.609  -16.6210   **  -16.0191   -78.4584 
 -49.000   0.01194  -0.00448   0.01276   -20.584  -25.5442   **   0.02156   0.02980   0.03678    54.119  -16.3450   **  -15.8519   -74.7024 
 -48.000   0.01098  -0.00376   0.01161   -18.880  -26.3627   **   0.02335   0.02965   0.03774    51.782  -16.1227   **  -15.7301   -70.6618 
 -47.000   0.00987  -0.00292   0.01029   -16.491  -27.4069   **   0.02496   0.02928   0.03847    49.550  -15.9556   **  -15.6553   -66.0410 
 -46.000   0.00859  -0.00198   0.00882   -12.948  -28.7537   **   0.02638   0.02867   0.03896    47.378  -15.8455   **  -15.6286   -60.3257 
 -45.000   0.00714  -0.00091   0.00720    -7.265  -30.5173   **   0.02761   0.02782   0.03919    45.219  -15.7943   **  -15.6504   -52.4844 
 -44.000   0.00550   0.00028   0.00551     2.912  -32.8381   **   0.02862   0.02671   0.03914    43.028  -15.8048   **  -15.7197   -40.1161 
 -43.000   0.00367   0.00160   0.00401    23.539  -35.6031   **   0.02940   0.02533   0.03881    40.753  -15.8801   **  -15.8340   -17.2140 
 -42.000   0.00165   0.00306   0.00347    61.710  -36.8489   **   0.02994   0.02367   0.03817    38.334  -16.0239   **  -15.9881    23.3764 
 -41.000  -0.00059   0.00465   0.00469    97.235  -34.2305   **   0.03023   0.02172   0.03723    35.699  -16.2409   **  -16.1725    61.5365 
 -40.000  -0.00304   0.00640   0.00709   115.426  -30.6488   **   0.03026   0.01947   0.03598    32.755  -16.5361   **  -16.3708    82.6708 
 -39.000  -0.00572   0.00830   0.01008   124.567  -27.5906   **   0.03002   0.01690   0.03445    29.382  -16.9146   **  -16.5580    95.1848 
 -38.000  -0.00862   0.01035   0.01348   129.788  -25.0673   **   0.02949   0.01401   0.03265    25.415  -17.3805   **  -16.6974   104.3731 
 -37.000  -0.01177   0.01257   0.01722   133.102  -22.9378   **   0.02867   0.01079   0.03063    20.627  -17.9344   **  -16.7419   112.4747 
 -36.000  -0.01515   0.01496   0.02129   135.370  -21.0947   **   0.02755   0.00723   0.02848    14.710  -18.5676   **  -16.6396   120.6600 
 -35.000  -0.01879   0.01751   0.02568   137.010  -19.4660   **   0.02611   0.00333   0.02632     7.259  -19.2514   **  -16.3471   129.7511 
 -34.000  -0.02267   0.02024   0.03039   138.245  -18.0033   **   0.02436  -0.00093   0.02438    -2.190  -19.9181   **  -15.8457   140.4350 
 -33.000  -0.02682   0.02314   0.03542   139.205  -16.6728   **   0.02229  -0.00555   0.02297   -13.975  -20.4369   **  -15.1489   153.1800 
 -32.000  -0.03122   0.02623   0.04078   139.969  -15.4504   **   0.01988  -0.01052   0.02249   -27.890  -20.6175   **  -14.2966   167.8593 
 -31.000  -0.03589   0.02949   0.04645   140.590  -14.3182   **   0.01714  -0.01586   0.02335   -42.779  -20.2913   **  -13.3396   183.3688 
 -30.000  -0.04082   0.03294   0.05245   141.102  -13.2627   **   0.01406  -0.02157   0.02575   -56.889  -19.4440   **  -12.3253   197.9917 
 -29.000  -0.04602   0.03657   0.05878   141.532  -12.2734   **   0.01065  -0.02764   0.02962   -68.929  -18.2277   **  -11.2909   210.4602 
 -28.000  -0.05149   0.04038   0.06544   141.895  -11.3421   **   0.00689  -0.03407   0.03476   -78.566  -16.8364   **  -10.2625   220.4609 
 -27.000  -0.05722   0.04438   0.07241   142.206  -10.4620   **   0.00279  -0.04087   0.04096   -86.090  -15.4101   **   -9.2562   228.2955 
 -26.000  -0.06322   0.04855   0.07971   142.474   -9.6279   **  -0.00164  -0.04803   0.04805   -91.960  -14.0236   **   -8.2815   234.4333 
 -25.000  -0.06947   0.05291   0.08733   142.707   -8.8352   **  -0.00642  -0.05554   0.05591   -96.590  -12.7090   **   -7.3435   239.2971 
 -24.000  -0.07599   0.05745   0.09526   142.910   -8.0802   **  -0.01152  -0.06340   0.06444  -100.301  -11.4758   **   -6.4440   243.2116 
 -23.000  -0.08275   0.06216   0.10350   143.090   -7.3598   **  -0.01696  -0.07160   0.07358  -103.324  -10.3236   **   -5.5833   246.4133 
