 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       338        15         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
    61   -0.7730105    0.6343933    0.0000000       0.208197       0.237403       0.062500       0.020663       0.005000            1
    62   -0.8128467    0.5824777    0.0000000       0.192225       0.250512       0.062500       0.020663       0.005000            1
    63   -0.8492022    0.5280679    0.0000000       0.175429       0.262548       0.062500       0.020663       0.005000            1
    64   -0.8819213    0.4713967    0.0000000       0.157882       0.273459       0.062500       0.020663       0.005000            1
    65   -0.9108638    0.4127070    0.0000000       0.139659       0.283200       0.062500       0.020663       0.005000            1
    66   -0.9359059    0.3522500    0.0000000       0.120837       0.291727       0.062500       0.020663       0.005000            1
    67   -0.9569403    0.2902847    0.0000000       0.101499       0.299006       0.062500       0.020663       0.005000            1
    68   -0.9738770    0.2270763    0.0000000       0.081726       0.305004       0.062500       0.020663       0.005000            1
    69   -0.9866433    0.1628955    0.0000000       0.061602       0.309696       0.062500       0.020663       0.005000            1
    70   -0.9951847    0.0980171    0.0000000       0.041215       0.313062       0.062500       0.020663       0.005000            1
    71   -0.9994646    0.0327191    0.0000000       0.020652       0.315087       0.062500       0.020663       0.005000            1
    72   -0.9994646   -0.0327191    0.0000000       0.000000       0.315763       0.062500       0.020663       0.005000            1
    73   -0.9951847   -0.0980171    0.0000000      -0.020652       0.315087       0.062500       0.020663       0.005000            1
    74   -0.9866433   -0.1628955    0.0000000      -0.041215       0.313062       0.062500       0.020663       0.005000            1
    75   -0.9738770   -0.2270763    0.0000000      -0.061602       0.309696       0.062500       0.020663       0.005000            1
    76   -0.9569403   -0.2902847    0.0000000      -0.081726       0.305004       0.062500       0.020663       0.005000            1
    77   -0.9359059   -0.3522500    0.0000000      -0.101499       0.299006       0.062500       0.020663       0.005000            1
    78   -0.9108638   -0.4127070    0.0000000      -0.120837       0.291727       0.062500       0.020663       0.005000            1
    79   -0.8819213   -0.4713967    0.0000000      -0.139659       0.283200       0.062500       0.020663       0.005000            1
    80   -0.8492022   -0.5280679    0.0000000      -0.157882       0.273459       0.062500       0.020663       0.005000            1
    81   -0.8128467   -0.5824777    0.0000000      -0.175429       0.262548       0.062500       0.020663       0.005000            1
    82   -0.7730105   -0.6343933    0.0000000      -0.192225       0.250512       0.062500       0.020663       0.005000            1
    83   -0.7298641   -0.6835923    0.0000000      -0.208197       0.237403       0.062500       0.020663       0.005000            1
    84   -0.6835923   -0.7298641    0.0000000      -0.223278       0.223278       0.062500       0.020663       0.005000            1
    85   -0.6343933   -0.7730105    0.0000000      -0.237403       0.208197       0.062500       0.020663       0.005000            1
    86   -0.5824777   -0.8128467    0.0000000      -0.250512       0.192225       0.062500       0.020663       0.005000            1
    87   -0.5280679   -0.8492022    0.0000000      -0.262548       0.175429       0.062500       0.020663       0.005000            1
    88   -0.4713967   -0.8819213    0.0000000      -0.273459       0.157882       0.062500       0.020663       0.005000            1
    89   -0.4127070   -0.9108638    0.0000000      -0.283200       0.139659       0.062500       0.020663       0.005000            1
    90   -0.3522500   -0.9359059    0.0000000      -0.291727       0.120837       0.062500       0.020663       0.005000            1
    91   -0.2902847   -0.9569403    0.0000000      -0.299006       0.101499       0.062500       0.020663       0.005000            1
    92   -0.2270763   -0.9738770    0.0000000      -0.305004       0.081726       0.062500       0.020663       0.005000            1
    93   -0.1628955   -0.9866433    0.0000000      -0.309696       0.061602       0.062500       0.020663       0.005000            1
    94   -0.0980171   -0.9951847    0.0000000      -0.313062       0.041215       0.062500       0.020663       0.005000            1
    95   -0.0327191   -0.9994646    0.0000000      -0.315087       0.020652       0.062500       0.020663       0.005000            1
    96    0.0327191   -0.9994646    0.0000000      -0.315763       0.000000       0.062500       0.020663       0.005000            1
    97    0.0980171   -0.9951847    0.0000000      -0.315087      -0.020652       0.062500       0.020663       0.005000            1
    98    0.1628955   -0.9866433    0.0000000      -0.313062      -0.041215       0.062500       0.020663       0.005000            1
    99    0.2270763   -0.9738770    0.0000000      -0.309696      -0.061602       0.062500       0.020663       0.005000            1
   100    0.2902847   -0.9569403    0.0000000      -0.305004      -0.081726       0.062500       0.020663       0.005000            1
   101    0.3522500   -0.9359059    0.0000000      -0.299006      -0.101499       0.062500       0.020663       0.005000            1
   102    0.4127070   -0.9108638    0.0000000      -0.291727      -0.120837       0.062500       0.020663       0.005000            1
   103    0.4713967   -0.8819213    0.0000000      -0.283200      -0.139659       0.062500       0.020663       0.005000            1
   104    0.5280679   -0.8492022    0.0000000      -0.273459      -0.157882       0.062500       0.020663       0.005000            1
   105    0.5824777   -0.8128467    0.0000000      -0.262548      -0.175429       0.062500       0.020663       0.005000            1
   106    0.6343933   -0.7730105    0.0000000      -0.250512      -0.192225       0.062500       0.020663       0.005000            1
   107    0.6835923   -0.7298641    0.0000000      -0.237403      -0.208197       0.062500       0.020663       0.005000            1
   108    0.7298641   -0.6835923    0.0000000      -0.223278      -0.223278       0.062500       0.020663       0.005000            1
   109    0.7730105   -0.6343933    0.0000000      -0.208197      -0.237403       0.062500       0.020663       0.005000            1
   110    0.8128467   -0.5824777    0.0000000      -0.192225      -0.250512       0.062500       0.020663       0.005000            1
